ts_scrape,regione,provincia,ospedale,codice,in_attesa,in_trattamento
2026-09-10T12:42:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,3,7
2026-09-10T12:42:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T12:42:34+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,18,71
2026-09-10T12:57:44+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T12:57:44+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,14
2026-09-10T12:57:44+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,13,47
2026-09-10T12:57:44+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,3,7
2026-09-10T12:57:44+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T12:57:44+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,17,72
2026-09-10T13:12:54+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T13:12:54+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,14
2026-09-10T13:12:54+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,20,47
2026-09-10T13:12:54+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,4,6
2026-09-10T13:12:54+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T13:12:54+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,25,71
2026-09-10T13:28:05+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T13:28:05+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,0,15
2026-09-10T13:28:05+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,19,46
2026-09-10T13:28:05+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,1,10
2026-09-10T13:28:05+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T13:28:05+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,20,75
2026-09-10T13:43:25+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T13:43:25+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,15
2026-09-10T13:43:25+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,20,45
2026-09-10T13:43:25+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,2,8
2026-09-10T13:43:25+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T13:43:25+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,23,72
2026-09-10T13:58:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T13:58:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,15
2026-09-10T13:58:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,21,45
2026-09-10T13:58:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,1,6
2026-09-10T13:58:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T13:58:38+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,23,70
2026-09-10T14:13:39+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,rosso,0,3
2026-09-10T14:13:39+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,giallo,1,16
2026-09-10T14:13:39+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,verde,23,46
2026-09-10T14:13:39+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,azzurro,2,6
2026-09-10T14:13:39+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,bianco,0,1
2026-09-10T14:13:39+02:00,toscana,prato,Prato - Nuovo Ospedale S. Stefano,totali,26,72
